ProductKey,ProductName,ProductNumber,Color,Size,StandardCost,ListPrice,ProductLine,Class,Style,ProductSubcategoryKey,ProductCategoryKey,CategoryName
1,Adjustable Race,AR-5381,,,0.0,0.0,,,,-1,-1,Unknown
2,Bearing Ball,BA-8327,,,0.0,0.0,,,,-1,-1,Unknown
323,Crown Race,CR-9981,,,0.0,0.0,,,,-1,-1,Unknown
325,Decal 1,DC-8732,,,0.0,0.0,,,,-1,-1,Unknown
326,Decal 2,DC-9824,,,0.0,0.0,,,,-1,-1,Unknown
341,Flat Washer 1,FW-1000,,,0.0,0.0,,,,-1,-1,Unknown
342,Flat Washer 6,FW-1200,,,0.0,0.0,,,,-1,-1,Unknown
343,Flat Washer 2,FW-1400,,,0.0,0.0,,,,-1,-1,Unknown
344,Flat Washer 9,FW-3400,,,0.0,0.0,,,,-1,-1,Unknown
345,Flat Washer 4,FW-3800,,,0.0,0.0,,,,-1,-1,Unknown
346,Flat Washer 3,FW-5160,,,0.0,0.0,,,,-1,-1,Unknown
347,Flat Washer 8,FW-5800,,,0.0,0.0,,,,-1,-1,Unknown
348,Flat Washer 5,FW-7160,,,0.0,0.0,,,,-1,-1,Unknown
349,Flat Washer 7,FW-9160,,,0.0,0.0,,,,-1,-1,Unknown
359,Thin-Jam Hex Nut 9,HJ-1213,,,0.0,0.0,,,,-1,-1,Unknown
360,Thin-Jam Hex Nut 10,HJ-1220,,,0.0,0.0,,,,-1,-1,Unknown
361,Thin-Jam Hex Nut 1,HJ-1420,,,0.0,0.0,,,,-1,-1,Unknown
362,Thin-Jam Hex Nut 2,HJ-1428,,,0.0,0.0,,,,-1,-1,Unknown
363,Thin-Jam Hex Nut 15,HJ-3410,,,0.0,0.0,,,,-1,-1,Unknown
364,Thin-Jam Hex Nut 16,HJ-3416,,,0.0,0.0,,,,-1,-1,Unknown
365,Thin-Jam Hex Nut 5,HJ-3816,,,0.0,0.0,,,,-1,-1,Unknown
366,Thin-Jam Hex Nut 6,HJ-3824,,,0.0,0.0,,,,-1,-1,Unknown
367,Thin-Jam Hex Nut 3,HJ-5161,,,0.0,0.0,,,,-1,-1,Unknown
368,Thin-Jam Hex Nut 4,HJ-5162,,,0.0,0.0,,,,-1,-1,Unknown
369,Thin-Jam Hex Nut 13,HJ-5811,,,0.0,0.0,,,,-1,-1,Unknown
370,Thin-Jam Hex Nut 14,HJ-5818,,,0.0,0.0,,,,-1,-1,Unknown
371,Thin-Jam Hex Nut 7,HJ-7161,,,0.0,0.0,,,,-1,-1,Unknown
372,Thin-Jam Hex Nut 8,HJ-7162,,,0.0,0.0,,,,-1,-1,Unknown
373,Thin-Jam Hex Nut 12,HJ-9080,,,0.0,0.0,,,,-1,-1,Unknown
374,Thin-Jam Hex Nut 11,HJ-9161,,,0.0,0.0,,,,-1,-1,Unknown
375,Hex Nut 5,HN-1024,,,0.0,0.0,,,,-1,-1,Unknown
376,Hex Nut 6,HN-1032,,,0.0,0.0,,,,-1,-1,Unknown
377,Hex Nut 16,HN-1213,,,0.0,0.0,,,,-1,-1,Unknown
378,Hex Nut 17,HN-1220,,,0.0,0.0,,,,-1,-1,Unknown
379,Hex Nut 7,HN-1224,,,0.0,0.0,,,,-1,-1,Unknown
380,Hex Nut 8,HN-1420,,,0.0,0.0,,,,-1,-1,Unknown
381,Hex Nut 9,HN-1428,,,0.0,0.0,,,,-1,-1,Unknown
382,Hex Nut 22,HN-3410,,,0.0,0.0,,,,-1,-1,Unknown
383,Hex Nut 23,HN-3416,,,0.0,0.0,,,,-1,-1,Unknown
384,Hex Nut 12,HN-3816,,,0.0,0.0,,,,-1,-1,Unknown
385,Hex Nut 13,HN-3824,,,0.0,0.0,,,,-1,-1,Unknown
386,Hex Nut 1,HN-4402,,,0.0,0.0,,,,-1,-1,Unknown
387,Hex Nut 10,HN-5161,,,0.0,0.0,,,,-1,-1,Unknown
388,Hex Nut 11,HN-5162,,,0.0,0.0,,,,-1,-1,Unknown
389,Hex Nut 2,HN-5400,,,0.0,0.0,,,,-1,-1,Unknown
390,Hex Nut 20,HN-5811,,,0.0,0.0,,,,-1,-1,Unknown
391,Hex Nut 21,HN-5818,,,0.0,0.0,,,,-1,-1,Unknown
392,Hex Nut 3,HN-6320,,,0.0,0.0,,,,-1,-1,Unknown
