SalesOrderDetailKey,OrderKey,DateKey,CustomerKey,ProductKey,TerritoryKey,Quantity,UnitPrice,DiscountRate,SalesAmount,StoreKey
37753,51178,20130530,11245,870,8,1,4.990000,0.000000,4.990000,
37760,51180,20130530,16313,870,8,1,4.990000,0.000000,4.990000,
37790,51191,20130531,12390,870,8,1,4.990000,0.000000,4.990000,
37804,51196,20130531,18906,870,9,1,4.990000,0.000000,4.990000,
37809,51197,20130531,11448,870,9,1,4.990000,0.000000,4.990000,
37813,51198,20130531,11006,870,9,1,4.990000,0.000000,4.990000,
37817,51199,20130531,21440,870,4,1,4.990000,0.000000,4.990000,
37826,51203,20130601,18208,870,9,1,4.990000,0.000000,4.990000,
37830,51205,20130601,11240,870,10,1,4.990000,0.000000,4.990000,
37834,51206,20130601,11400,870,10,1,4.990000,0.000000,4.990000,
37838,51207,20130601,11338,870,8,1,4.990000,0.000000,4.990000,
37859,51214,20130601,19765,870,9,1,4.990000,0.000000,4.990000,
37865,51216,20130601,11117,870,9,1,4.990000,0.000000,4.990000,
37886,51223,20130601,26826,870,8,1,4.990000,0.000000,4.990000,
37899,51228,20130602,11402,870,7,1,4.990000,0.000000,4.990000,
37906,51230,20130602,11292,870,4,1,4.990000,0.000000,4.990000,
37919,51237,20130602,11061,870,9,1,4.990000,0.000000,4.990000,
37944,51246,20130602,25625,870,8,1,4.990000,0.000000,4.990000,
37947,51247,20130603,11249,870,8,1,4.990000,0.000000,4.990000,
37952,51249,20130603,11334,870,10,1,4.990000,0.000000,4.990000,
37955,51250,20130603,19360,870,10,1,4.990000,0.000000,4.990000,
37977,51259,20130603,11433,870,7,1,4.990000,0.000000,4.990000,
37982,51260,20130603,25618,870,8,1,4.990000,0.000000,4.990000,
37987,51262,20130604,11340,870,7,1,4.990000,0.000000,4.990000,
38006,51267,20130604,11456,870,9,1,4.990000,0.000000,4.990000,
38046,51282,20130605,11008,870,9,1,4.990000,0.000000,4.990000,
38072,51291,20130606,11447,870,9,1,4.990000,0.000000,4.990000,
38089,51298,20130606,27949,870,10,1,4.990000,0.000000,4.990000,
38108,51307,20130607,11336,870,7,1,4.990000,0.000000,4.990000,
38111,51308,20130607,18958,870,4,1,4.990000,0.000000,4.990000,
38117,51309,20130607,15553,870,4,1,4.990000,0.000000,4.990000,
38125,51312,20130607,28207,870,9,1,4.990000,0.000000,4.990000,
38130,51314,20130607,26666,870,9,1,4.990000,0.000000,4.990000,
38133,51315,20130607,11003,870,9,1,4.990000,0.000000,4.990000,
38140,51317,20130607,26994,870,7,1,4.990000,0.000000,4.990000,
38143,51318,20130607,22432,870,8,1,4.990000,0.000000,4.990000,
38147,51319,20130607,28758,870,7,1,4.990000,0.000000,4.990000,
